Section,Task,Subtask,Workstream,Decision Gate,Blocker,Requires Stakeholder Decision,CRM Environment,Effort,Priority,Baseline / Target Metric,Assignee Primary,Assignee Secondary,Milestone,Depends On,Related Docs
Governance & Project Setup,Confirm project charter and success criteria,"Align on 3 program goals (census truth, workflow clarity, growth readiness)",Governance,No,No,No,Discovery,S,P0,,Keren,Joel,No,,https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/structure.json
Governance & Project Setup,,Document non-negotiables: definitions before dashboards; no prod changes pre-sign-off,Governance,No,No,No,Discovery,S,P0,,Keren,Joel,No,,
Governance & Project Setup,,Link workspace doc: crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md,Governance,No,No,No,Discovery,S,P0,,Keren,Joel,No,,
Governance & Project Setup,Confirm team roles and RACI,"Keren — framework, audit, UAT coordination",Governance,No,No,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah, Angelo",No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/asana-structure.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/custom-fields.json
Governance & Project Setup,,"Joel — operational definitions, ops sign-off, playbooks",Governance,No,No,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah, Angelo",No,,
Governance & Project Setup,,"Avi — CRM implementation, remediation, automations",Governance,No,No,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah, Angelo",No,,
Governance & Project Setup,,Angelo — sales UAT,Governance,No,No,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah, Angelo",No,,
Governance & Project Setup,,Leah — cutover communications,Governance,No,No,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah, Angelo",No,,
Governance & Project Setup,Schedule definitions workshop (90 min),Send pre-read: alignment-meeting/01-share-with-team.md,Governance,No,No,Yes,Discovery,S,P0,,Keren,Joel,No,,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/01-share-with-team.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/05-phase0-workshop.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/README.md
Governance & Project Setup,,"Confirm attendees: Joel, ops leads, Keren, Avi, Angelo",Governance,No,No,Yes,Discovery,S,P0,,Keren,Joel,No,,
Governance & Project Setup,,Use facilitator guide: alignment-meeting/05-phase0-workshop.md,Governance,No,No,Yes,Discovery,S,P0,,Keren,Joel,No,,
Governance & Project Setup,,Capture decisions in alignment-meeting/03-decision-worksheet.md,Governance,No,No,Yes,Discovery,S,P0,,Keren,Joel,No,,
Governance & Project Setup,Establish change control rules,No production CRM changes until Framework v1 signed,Governance,No,No,No,Discovery,S,P0,,Keren,Avi,No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/dependencies.json
Governance & Project Setup,,CRM field work on hold until status labels + flowcharts finalized (Leah confirmed),Governance,No,No,No,Discovery,S,P0,,Keren,Avi,No,,
Governance & Project Setup,,Old fields retained during migration; no immediate deletion,Governance,No,No,No,Discovery,S,P0,,Keren,Avi,No,,
Governance & Project Setup,,Dashboards not switched until staging data validated,Governance,No,No,No,Discovery,S,P0,,Keren,Avi,No,,
Governance & Project Setup,,Manual review queues for ambiguous legacy records,Governance,No,No,No,Discovery,S,P0,,Keren,Avi,No,,
Governance & Project Setup,,Plan one-pass CRM update: labels + filtering + backfill together,Governance,No,No,No,Discovery,S,P0,,Keren,Avi,No,,
Governance & Project Setup,Joel: Schedule CRM implementation review with Avi's team,Coordinate with Avi on tech team availability,Governance,No,No,Yes,Discovery,S,P0,,Joel,"Avi, Keren",No,Finalize patient status labels and lifecycle flowcharts,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md
Governance & Project Setup,,"Agenda: agreed pipeline, short-term parallel track, multi-LOB UI, NIA tracking, one-pass plan",Governance,No,No,Yes,Discovery,S,P0,,Joel,"Avi, Keren",No,Finalize patient status labels and lifecycle flowcharts,
Governance & Project Setup,,Pre-read: crm/meeting-notes/2026-07-pipeline-alignment.md + crm/glossary-pipeline-v2.md,Governance,No,No,Yes,Discovery,S,P0,,Joel,"Avi, Keren",No,Finalize patient status labels and lifecycle flowcharts,
Governance & Project Setup,,Capture technical mapping questions for Nexus Episode fields,Governance,No,No,Yes,Discovery,S,P0,,Joel,"Avi, Keren",No,Finalize patient status labels and lifecycle flowcharts,
Governance & Project Setup,Leah: Follow-up and coordinate Avi meeting scheduling,Send follow-up messages via team chat with meeting outcomes,Governance,No,No,No,Discovery,S,P0,,Leah,"Joel, Keren",No,Finalize patient status labels and lifecycle flowcharts,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/workshop-jul2026-asana-sync.md
Governance & Project Setup,,Coordinate calendar once labels and flowcharts are finalized,Governance,No,No,No,Discovery,S,P0,,Leah,"Joel, Keren",No,Finalize patient status labels and lifecycle flowcharts,
Governance & Project Setup,,Confirm enrollment specialist representation if needed,Governance,No,No,No,Discovery,S,P0,,Leah,"Joel, Keren",No,Finalize patient status labels and lifecycle flowcharts,
Business Definitions & Sign-Off,Refine CRM glossary and terminology (living doc),Maintain crm/glossary-pipeline-v2.md with meeting feedback,Definitions,No,No,No,Discovery,M,P0,,Keren,"Joel, Leah",No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary/status-terminology-v1.md
Business Definitions & Sign-Off,,"Define: Lead, Qualifying, Referral in Progress, Active, Discharged, Dropped Off",Definitions,No,No,No,Discovery,M,P0,,Keren,"Joel, Leah",No,,
Business Definitions & Sign-Off,,"Retire ambiguous labels: Pre-Intake, Closed, Converted, generic In Progress / Intake as master status",Definitions,No,No,No,Discovery,M,P0,,Keren,"Joel, Leah",No,,
Business Definitions & Sign-Off,,"Document short-term parallel track terms: In Progress, Accepted, Startup, Authorized",Definitions,No,No,No,Discovery,M,P0,,Keren,"Joel, Leah",No,,
Business Definitions & Sign-Off,,Mark each term: Known / Assumption / Needs confirmation,Definitions,No,No,No,Discovery,M,P0,,Keren,"Joel, Leah",No,,
Business Definitions & Sign-Off,Finalize patient status labels and lifecycle flowcharts,Main pipeline flowchart: Lead → Qualifying → Referral in Progress → Active → Discharged,Definitions,Yes,Yes,Yes,Discovery,M,P0,,Keren,"Joel, Leah",No,,https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
Business Definitions & Sign-Off,,Show Dropped Off as terminal before Active from any prior stage,Definitions,Yes,Yes,Yes,Discovery,M,P0,,Keren,"Joel, Leah",No,,
Business Definitions & Sign-Off,,Short-term care parallel track + icon UI spec (does not affect main bar until authorized),Definitions,Yes,Yes,Yes,Discovery,M,P0,,Keren,"Joel, Leah",No,,
Business Definitions & Sign-Off,,Multi-LOB simultaneous status display wireframe,Definitions,Yes,Yes,Yes,Discovery,M,P0,,Keren,"Joel, Leah",No,,
Business Definitions & Sign-Off,,Joel + Leah sign-off — unlocks Avi tech meeting and CRM build,Definitions,Yes,Yes,Yes,Discovery,M,P0,,Keren,"Joel, Leah",No,,
Business Definitions & Sign-Off,Confirm master lifecycle model (Jul 2026 alignment),AGREED: Lead → Qualifying → Referral in Progress → Active → Discharged,Definitions,Yes,No,Yes,Discovery,M,P0,,Joel,"Keren, Avi",No,,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
Business Definitions & Sign-Off,,AGREED: Dropped Off anytime before Active,Definitions,Yes,No,Yes,Discovery,M,P0,,Joel,"Keren, Avi",No,,
Business Definitions & Sign-Off,,AGREED: Referral in Progress replaces in progress / intake as master label,Definitions,Yes,No,Yes,Discovery,M,P0,,Joel,"Keren, Avi",No,,
Business Definitions & Sign-Off,,Confirm Episode as master object; map 5 stages to Nexus fields at Avi meeting,Definitions,Yes,No,Yes,Discovery,M,P0,,Joel,"Keren, Avi",No,,
Business Definitions & Sign-Off,,Confirm Authorized is not top-level status — validity layer under Active,Definitions,Yes,No,Yes,Discovery,M,P0,,Joel,"Keren, Avi",No,,
