Section,Task Name,Assignee,Priority,Effort,Is Milestone,Dependencies,Related Docs
§1 Governance & Project Setup,Confirm project charter and success criteria,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/structure.json
§1 Governance & Project Setup,Confirm team roles and RACI,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/asana-structure.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/custom-fields.json
§1 Governance & Project Setup,Schedule definitions workshop (90 min),Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/01-share-with-team.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/05-phase0-workshop.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/README.md
§1 Governance & Project Setup,Establish change control rules,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/dependencies.json
§1 Governance & Project Setup,Joel: Schedule CRM implementation review with Avi's team,Joel,P0,S,No,Finalize patient status labels and lifecycle flowcharts,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md
§1 Governance & Project Setup,Leah: Follow-up and coordinate Avi meeting scheduling,Leah,P0,S,No,Finalize patient status labels and lifecycle flowcharts,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/workshop-jul2026-asana-sync.md
§2 Business Definitions & Sign-Off,Refine CRM glossary and terminology (living doc),Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary/status-terminology-v1.md
§2 Business Definitions & Sign-Off,Finalize patient status labels and lifecycle flowcharts,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§2 Business Definitions & Sign-Off,Confirm master lifecycle model (Jul 2026 alignment),Joel,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§2 Business Definitions & Sign-Off,Confirm layer separation model,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts
§2 Business Definitions & Sign-Off,Resolve edge case decision log (20 scenarios),Joel,P0,L,No,,https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md
§2 Business Definitions & Sign-Off,Confirm census definition,Joel,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
